wvl;fwhm
1410.066900;6.6521848
1415.183900;6.6521848
1420.301000;6.6521848
1425.418100;6.6521848
1430.535100;6.6521848
1435.652200;6.6521848
1440.769200;6.6520261
1445.886300;6.6523435
1451.003300;6.6520261
1456.120400;6.6521848
1461.237500;6.6523435
1466.354500;6.6520261
1471.471600;6.6521848
1476.588600;6.6521848
1481.705700;6.6521848
1486.822700;6.6521848
1491.939800;6.6521848
1497.056900;6.6521848
1502.173900;6.6521848
1507.291000;6.6521848
1512.408000;6.6520261
1517.525100;6.6523435
1522.642100;6.6520261
1527.759200;6.6521848
1532.876300;6.6523435
1537.993300;6.6520261
1543.110400;6.6521848
1548.227400;6.6521848
1553.344500;6.6521848
1558.461500;6.6521848
1563.578600;6.6521848
1568.695700;6.6521848
1573.812700;6.6521848
1578.929800;6.6521848
1584.046800;6.6520261
1589.163900;6.6523435
1594.280900;6.6520261
1599.398000;6.6521848
1604.515000;6.6521848
1609.632100;6.6521848
1614.749200;6.6521848
1619.866200;6.6521848
1624.983300;6.6521848
1630.100300;6.6521848
1635.217400;6.6521848
1640.334400;6.6520261
1645.451500;6.6523435
1650.568600;6.6521848
1655.685600;6.6520261
1660.802700;6.6523435
1665.919700;6.6520261
1671.036800;6.6521848
1676.153800;6.6521848
1681.270900;6.6521848
1686.388000;6.6521848
1691.505000;6.6521848
1696.622100;6.6521848
1701.739100;6.6521848
1706.856200;6.6521848
1711.973200;6.6520261
1717.090300;6.6523435
1722.207400;6.6521848
1727.324400;6.6520261
1732.441500;6.6523435
1737.558500;6.6520261
1742.675600;6.6523435
1747.792600;6.6520261
1752.909700;6.6521848
1758.026800;6.6523435
1763.143800;6.6520261
1768.260900;6.6521848
1773.377900;6.6521848
1778.495000;6.6521848
1783.612000;6.6521848
1788.729100;6.6521848
1793.846200;6.6521848
1798.963200;6.6521848
1804.080300;6.6521848
1809.197300;6.6520261
1814.314400;6.6523435
1819.431400;6.6520261
1824.548500;6.6521848
1829.665600;6.6523435
1834.782600;6.6520261
1839.899700;6.6521848
1845.016700;6.6521848
1850.133800;6.6521848
1855.250800;6.6521848
1860.367900;6.6521848
1865.485000;6.6521848
1870.602000;6.6521848
1875.719100;6.6521848
1880.836100;6.6520261
1885.953200;6.6523435
1891.070200;6.6520261
1896.187300;6.6521848
1901.304300;6.6521848
